Fact,Category
The Grammy Award for Best New Artist has been awarded since 1959. Years reflect the year in which the Grammy Awards were handed out for records released in the previous year. The award was not presented in 1967.,AWARD
A Grammy Award (stylized as GRAMMY originally called Gramophone Award) or Grammy is an award presented by The Recording Academy to recognize achievements in the music industry. The trophy depicts a gilded gramophone. The annual presentation ceremony features performances by prominent artists and the presentation of those awards that have a more popular interest.,AWARD
Indie rock is a genre of rock music that originated in the United States and United Kingdom in the 1970s. Originally used to describe independent record labels the term became associated with the music they produced and was initially used interchangeably with alternative rock. As grunge and punk revival bands in the US and Britpop bands in the UK broke into the mainstream in the 1990s it came to be used to identify those acts that retained an outsider and underground perspective.,GENRE
Nu metal (sometimes stylized as nü-metal) is a subgenre of alternative metal that combines elements of heavy metal music with elements of other music genres such as hip hop alternative rock funk industrial and grunge. Nu metal bands have drawn elements and influences from a variety of musical styles including multiple genres of heavy metal. Nu metal rarely features guitar solos; the genre is heavily syncopated and based on guitar riffs.,GENRE
Contemporary Christian music (or CCM—and occasionally "inspirational music") is a genre of modern popular music which is lyrically focused on matters concerned with the Christian faith. It formed as those affected by the 1960s Jesus movement revival began to express themselves in a more contemporary style of music than the hymns Gospel and Southern gospel music that was prevalent in the church at the time. Today the term is typically used to refer to pop rock or praise & worship styles.,GENRE
March 13 is the 72nd day of the year (73rd in leap years) in the Gregorian calendar.  293 days remain until the end of the year.,DATE
July 23 is the 204th day of the year (205th in leap years) in the Gregorian calendar.  161 days remain until the end of the year.,DATE
February 2 is the 33rd day of the year in the Gregorian calendar.  332 days remain until the end of the year (333 in leap years).,DATE
The Thirtieth of September Movement (Indonesian: Gerakan 30 September abbreviated as G30S also known by the acronym Gestapu for Gerakan September Tiga Puluh Thirtieth of September Movement) was a self-proclaimed organization of Indonesian National Armed Forces members who in the early hours of 1 October 1965 assassinated six Indonesian Army generals in an abortive coup d'état resulting in the unofficial but more accurate name of Gestok for Gerakan Satu Oktober or First of October Movement. Later that morning the organisation declared that it was in control of media and communication outlets and had taken President Sukarno under its protection. By the end of the day the coup attempt had failed in Jakarta at least.,DATE
June 23 is the 174th day of the year (175th in leap years) in the Gregorian calendar.  191 days remain until the end of the year.,DATE
April 6 is the 96th day of the year (97th in leap years) in the Gregorian calendar.  269 days remain until the end of the year.,DATE
March 21 is the 80th day of the year (81st in leap years) in the Gregorian calendar.  285 days remain until the end of the year.,DATE
June 30 is the 181st day of the year (182nd in leap years) in the Gregorian calendar.  184 days remain until the end of the year.,DATE
September 17 is the 260th day of the year (261st in leap years) in the Gregorian calendar.  105 days remain until the end of the year.,DATE
February 1 is the 32nd day of the year in the Gregorian calendar.  333 days remain until the end of the year (334 in leap years).,DATE
September 7 is the 250th day of the year (251st in leap years) in the Gregorian calendar.  115 days remain until the end of the year.,DATE
April 25 is the 115th day of the year (116th in leap years) in the Gregorian calendar.  250 days remain until the end of the year.,DATE
July 8 is the 189th day of the year (190th in leap years) in the Gregorian calendar.  176 days remain until the end of the year.,DATE
September 14 is the 257th day of the year (258th in leap years) in the Gregorian calendar.  108 days remain until the end of the year.,DATE
February 25 is the 56th day of the year in the Gregorian calendar.  309 days remain until the end of the year (310 in leap years).,DATE
